year,Q,month
1968,10.3847173398993,4
1969,8.33059274414113,4
1970,6.64050619368736,4
1971,4.68676426597396,4
1972,13.6244280455499,4
1973,12.9600011893888,4
1974,10.6523953993501,4
1975,15.3055494938682,4
1976,13.8900482687657,4
1977,17.6333165867543,4
1978,12.7550752248987,4
1979,13.7519508076649,4
1980,6.08027893137839,4
1981,3.57891008682246,4
1982,5.59886683442193,4
1983,10.5817468594905,4
1984,4.94529570658969,4
1985,4.9685107415468,4
1986,7.32334113554601,4
1987,9.50766746774805,4
1988,2.54505465237686,4
1989,8.00099447004392,4
1990,7.39261815828691,4
1991,6.3532314330026,4
1992,4.36850569773858,4
1993,6.68946523306663,4
1994,5.36610127642045,4
1995,9.084717532599,4
1996,4.32797667740376,4
1997,16.1026854426194,4
1998,12.0665805878351,4
1999,4.42172754514278,4
2000,13.5482303935438,4
2001,17.3544722858143,4
2002,17.5202303480983,4
2003,12.6644535317733,4
1750,59.7405558796061,5
1751,74.3638963680617,5
1752,42.1590897694736,5
1753,80.4970486163803,5
1754,71.5292443102057,5
1755,72.7942164768915,5
1756,51.9387201921248,5
1757,52.1978050480805,5
1758,63.6185026306983,5
1759,55.4242102846418,5
1760,20.756767547596,5
1761,36.8258892699023,5
1762,38.1901626856924,5
1763,61.4155930150337,5
1764,12.6491950899984,5
1765,53.3866444166938,5
1766,27.7284512304202,5
1767,77.5913073897265,5
1768,85.7827713660476,5
1769,62.7194670381798,5
1770,43.4306717580905,5
1771,54.0982473145086,5
1772,104.928203666235,5
1773,85.3600253580303,5
1774,58.5570259513461,5
1775,94.8478178959908,5
1776,86.3487732734613,5
1777,78.121598822387,5
1778,55.1977222106363,5
1779,58.2693365839942,5
1780,48.1482701659897,5
1781,35.8963917130628,5
1782,39.7078534507494,5
1783,29.6926782418993,5
1784,6.44382526262551,5
1785,39.4315081499856,5
1786,74.1742177268726,5
1787,17.9554520600355,5
1788,45.3756589772443,5
1789,10.1535683345338,5
1790,38.7533381247849,5
1791,25.1287213050415,5
1792,53.9650245634773,5
1793,50.9885482052801,5
1794,16.6459763280091,5
1795,62.3349243428242,5
1796,28.0918912213883,5
1797,41.1319705638571,5
1798,53.5776609494284,5
1799,57.5320343564244,5
1800,32.7345400688264,5
1801,58.62286978311,5
1802,46.8763691234011,5
1803,61.5474172634471,5
1804,12.2757865316619,5
1805,18.506139778989,5
1806,42.2722906455607,5
1807,105.960367658696,5
1808,111.151737203841,5
1809,61.004222995675,5
1810,91.7856118721342,5
1811,84.2240330121709,5
